"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"","Phi","East","Atlantic","11","102.5","104.1","'-1.6","91.4","111.2","112.8","'-1.6","","","","","'-0.028","7","4","0.636","0.452","0.447","0.184","'-2"
"","Mia","East","Southeast","23","108.3","106.8","1.5","94.2","114.5","112.9","1.6","","","","","'-0.033","13","10","0.565","0.554","0.549","0.011","'-3"
"","Bos","East","Atlantic","20","112","108.6","3.4","94.9","117.4","113.9","3.5","","","","","0.055","11","9","0.550","0.596","0.612","'-0.046","'-1"
"","Nyk","East","Atlantic","11","100.1","99.7","0.4","91.7","109.1","108.7","0.4","","","","","0.022","6","5","0.545","0.512","0.513","0.033","'-1"
"","Atl","East","Southeast","6","115.8","121.2","'-5.4","100.7","115","120.3","'-5.3","","","","","'-0.102","2","4","0.333","0.341","0.322","'-0.008","'-1"
"","Cle","East","Central","5","94.2","99.6","'-5.4","90.6","103.9","109.9","'-6","","","","","0.047","1","4","0.200","0.322","0.322","'-0.122","'-3"
"","Mil","East","Central","5","118.8","124","'-5.2","102.1","114","119","'-5","","","","","'-0.072","1","4","0.200","0.37","0.329","'-0.17","'-3"
"","Bro","East","Atlantic","4","92.5","103.8","'-11.3","89.7","103.1","115.6","'-12.5","","","","","'-0.067","0","4","0.000","0.211","0.128","'-0.211","'-5"
"","Den","West","Northwest","20","113.5","105.2","8.3","94.3","119.7","111","8.7","","","","","0.077","16","4","0.800","0.729","0.773","0.071","3"
"","Pho","West","Pacific","11","114.2","116.5","'-2.3","97.6","117","119.3","'-2.3","","","","","0.001","6","5","0.545","0.44","0.424","0.105","'-2"
"","Lal","West","Pacific","16","112.3","109.9","2.4","97.9","113.9","111.5","2.4","","","","","0","8","8","0.500","0.584","0.579","'-0.084","'-4"
"","Gol","West","Pacific","13","113.1","113.2","'-0.1","100.9","112","112.2","'-0.2","","","","","0.043","6","7","0.462","0.495","0.497","'-0.033","'-1"
"","Sac","West","Pacific","7","113.7","115.9","'-2.2","102.7","110.7","112.8","'-2.1","","","","","'-0.053","3","4","0.429","0.438","0.428","'-0.009","'-1"
"","Mem","West","Southwest","6","104.7","112.2","'-7.5","98.7","104.2","111.7","'-7.5","","","","","'-0.101","2","4","0.333","0.305","0.253","0.028","'-1"
"","Lac","West","Pacific","5","115.6","122","'-6.4","98.8","117","123.5","'-6.5","","","","","'-0.041","1","4","0.200","0.316","0.289","'-0.116","'-4"
"","Min","West","Northwest","5","105.4","114.2","'-8.8","94.1","109.7","118.8","'-9.1","","","","","'-0.042","1","4","0.200","0.217","0.21","'-0.017","'-1"

