"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"","Boston","East","Atlantic","82","120.6","109.2","11.4","97.1","123.2","111.6","11.6","'-0.73","0.00","10.87","15.9","0.08","64","18","0.780","0.768","0.875","0.012","2"
"","New York","East","Atlantic","82","112.8","108.2","4.6","95.2","118.2","113.4","4.8","'-0.30","0.00","4.50","15.9","0.005","50","32","0.610","0.619","0.651","'-0.009","5"
"","Milwaukee","East","Central","82","119","116.4","2.6","99.9","118.4","115.8","2.6","'-0.44","0.00","2.16","16.1","0.05","49","33","0.598","0.564","0.586","0.034","'-2"
"","Cleveland","East","Central","82","112.6","110.2","2.4","97.1","115.2","112.8","2.4","'-0.49","0.00","1.91","15.4","0.029","48","34","0.585","0.562","0.579","0.023","'-1"
"","Indiana","East","Central","82","123.3","120.2","3.1","101.7","121.1","118.1","3","0.15","0.00","3.15","15.2","0.012","47","35","0.573","0.578","0.602","'-0.005","1"
"","Orlando","East","Southeast","82","110.5","108.4","2.1","96.9","113.4","111.3","2.1","'-0.06","0.00","2.04","15","0.002","47","35","0.573","0.556","0.569","0.017","1"
"","Philadelphia","East","Atlantic","82","114.6","111.5","3.1","97.5","117","113.8","3.2","'-1.31","0.00","1.89","16.1","'-0.04","47","35","0.573","0.579","0.602","'-0.006","8"
"","Miami","East","Southeast","82","110.1","108.4","1.7","96.2","114.1","112.3","1.8","'-0.47","0.00","1.33","15.1","'-0.022","46","36","0.561","0.547","0.556","0.014","2"
"","Chicago","East","Central","82","112.3","113.7","'-1.4","96.3","114.9","116.3","'-1.4","0.18","0.00","'-1.22","13.1","'-0.048","39","43","0.476","0.458","0.454","0.018","'-1"
"","Atlanta","East","Southeast","82","118.3","120.5","'-2.2","100","117.3","119.4","'-2.1","'-0.61","0.00","'-2.71","14.7","'-0.05","36","46","0.439","0.443","0.428","'-0.004","'-6"
"","Brooklyn","East","Atlantic","82","110.4","113.3","'-2.9","96.9","113.2","116.1","'-2.9","'-0.13","0.00","'-3.03","15.9","'-0.011","32","50","0.390","0.428","0.405","'-0.038","'-2"
"","Toronto","East","Atlantic","82","112.4","118.8","'-6.4","99.4","112.4","118.8","'-6.4","0.36","0.00","'-6.04","15.7","'-0.045","25","57","0.305","0.342","0.289","'-0.037","'-4"
"","Charlotte","East","Southeast","82","106.6","116.8","'-10.2","97.3","109.3","119.8","'-10.5","0.86","0.00","'-9.64","14.4","'-0.068","21","61","0.256","0.233","0.164","0.023","1"
"","Washington","East","Southeast","82","113.7","123","'-9.3","102.6","110.5","119.6","'-9.1","1.06","0.00","'-8.04","12.5","'-0.052","15","67","0.183","0.234","0.194","'-0.051","'-6"
"","Detroit","East","Central","82","109.9","119","'-9.1","99.8","109.7","118.8","'-9.1","0.79","0.00","'-8.31","12","'-0.01","14","68","0.171","0.224","0.2","'-0.053","'-1"
"","Denver","West","Northwest","82","114.9","109.6","5.3","96.8","118.5","113.1","5.4","'-0.09","0.00","5.31","14","0.057","57","25","0.695","0.651","0.675","0.044","1"
"","Oklahoma City","West","Northwest","82","120.1","112.7","7.4","99.8","119.6","112.2","7.4","'-0.35","0.00","7.05","17.2","0.018","57","25","0.695","0.667","0.744","0.028","5"
"","Minnesota","West","Northwest","82","113","106.5","6.5","97.1","115.6","109","6.6","'-0.89","0.00","5.71","13.8","0.064","56","26","0.683","0.684","0.714","'-0.001","'-1"
"","LA Clippers","West","Pacific","82","115.6","112.3","3.3","97.2","118.8","115.4","3.4","'-0.58","0.00","2.82","14.3","0.031","51","31","0.622","0.594","0.609","0.028","'-3"
"","Dallas","West","Southwest","82","117.9","115.6","2.3","100.1","117.7","115.5","2.2","0.02","0.00","2.22","17.9","0.001","50","32","0.610","0.549","0.576","0.061","'-2"
"","New Orleans","West","Southwest","82","115.1","110.7","4.4","97.9","117.4","112.9","4.5","0.29","0.00","4.79","17.1","0.013","49","33","0.598","0.604","0.645","'-0.006","'-1"
"","Phoenix","West","Pacific","82","116.2","113.2","3","98.3","117.7","114.6","3.1","0.07","0.00","3.17","12.5","0.07","49","33","0.598","0.598","0.599","0","3"
"","LA Lakers","West","Pacific","82","118","117.4","0.6","100.9","116","115.4","0.6","'-0.08","0.00","0.52","15","0.026","47","35","0.573","0.516","0.52","0.057","2"
"","Golden State","West","Pacific","82","117.8","115.2","2.6","99.2","117.9","115.2","2.7","'-0.45","0.00","2.25","13.7","0.049","46","36","0.561","0.578","0.586","'-0.017","1"
"","Sacramento","West","Pacific","82","116.6","114.8","1.8","98.8","117","115.2","1.8","0.11","0.00","1.91","16.4","'-0.004","46","36","0.561","0.544","0.559","0.017","1"
"","Houston","West","Southwest","82","114.3","113.2","1.1","98.8","114.6","113.5","1.1","'-0.03","0.00","1.07","14.5","'-0.016","41","41","0.500","0.53","0.536","'-0.03","2"
"","Utah","West","Northwest","82","115.7","120.5","'-4.8","99.4","115.6","120.5","'-4.9","0.38","0.00","'-4.52","15.9","0.004","31","51","0.378","0.379","0.342","'-0.001","'-1"
"","Memphis","West","Southwest","82","105.8","112.8","'-7","98.1","107.2","114.3","'-7.1","0.60","0.00","'-6.50","14","'-0.066","27","55","0.329","0.306","0.27","0.023","'-5"
"","San Antonio","West","Southwest","82","112.1","118.6","'-6.5","101.1","110","116.4","'-6.4","0.50","0.00","'-5.90","14.4","'-0.015","22","60","0.268","0.329","0.286","'-0.061","2"
"","Portland","West","Northwest","82","106.4","115.4","'-9","97.2","108.3","117.5","'-9.2","0.56","0.00","'-8.64","15.6","'-0.067","21","61","0.256","0.278","0.204","'-0.022","'-5"

