"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"","Bos","East","Atlantic","19","108.8","100.7","8.1","91.8","117.8","109.1","8.7","","","","","0.049","16","3","0.842","0.708","0.767","0.134","1"
"","Nyk","East","Atlantic","13","109.9","112","'-2.1","91.9","118.7","120.9","'-2.2","","","","","'-0.065","7","6","0.538","0.445","0.431","0.093","'-2"
"","Ind","East","Central","17","113.9","112.8","1.1","93.6","120.2","119.1","1.1","","","","","0.058","8","9","0.471","0.529","0.536","'-0.058","'-4"
"","Orl","East","Southeast","7","100.3","95.9","4.4","94.6","106","101.4","4.6","","","","","'-0.006","3","4","0.429","0.62","0.645","'-0.191","'-1"
"","Cle","East","Central","12","98.1","103.7","'-5.6","92.7","105.8","111.8","'-6","","","","","'-0.043","5","7","0.417","0.348","0.316","0.069","'-3"
"","Phi","East","Atlantic","6","108.2","108.3","'-0.1","91","116.9","117","'-0.1","","","","","0.028","2","4","0.333","0.498","0.497","'-0.165","'-1"
"","Mil","East","Central","6","110.2","113","'-2.8","93.3","116","119","'-3","","","","","'-0.024","2","4","0.333","0.426","0.408","'-0.093","'-1"
"","Mia","East","Southeast","5","92.2","107.8","'-15.6","90.7","101.7","118.9","'-17.2","","","","","'-0.101","1","4","0.200","0.128","'-0.014","0.072","'-3"
"","Okc","West","Northwest","10","105.7","99.4","6.3","94.3","112.1","105.4","6.7","","","","","'-0.025","6","4","0.600","0.652","0.707","'-0.052","'-2"
"","Dal","West","Southwest","22","106","103.4","2.6","92.4","114.7","111.9","2.8","","","","","0.054","13","9","0.591","0.562","0.586","0.029","'-1"
"","Den","West","Northwest","12","102.2","104.3","'-2.1","92.3","110.6","112.9","'-2.3","","","","","'-0.019","7","5","0.583","0.435","0.431","0.148","'-2"
"","Min","West","Northwest","16","107.5","103.3","4.2","91.7","117.2","112.6","4.6","","","","","'-0.007","9","7","0.563","0.631","0.638","'-0.068","'-1"
"","Lac","West","Pacific","6","100.3","107","'-6.7","91.1","110.3","117.6","'-7.3","","","","","'-0.016","2","4","0.333","0.305","0.279","0.028","'-2"
"","Lal","West","Pacific","5","106.4","108.6","'-2.2","95.3","111.7","114","'-2.3","","","","","0.018","1","4","0.200","0.439","0.428","'-0.239","'-1"
"","Pho","West","Pacific","4","103.3","118.3","'-15","93.5","110.5","126.5","'-16","","","","","'-0.054","0","4","0.000","0.1","0.006","'-0.1","'-4"
"","Nor","West","Southwest","4","89.5","105.3","'-15.8","94.3","95","111.7","'-16.7","","","","","'-0.099","0","4","0.000","0.165","'-0.02","'-0.165","'-4"

